filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
00040da5,be5d69c46afbb5919dbdd3d409b6c4223235f05e,e214440fbff0bcf3f3fadae3cced6fa13e077ab9,true,Self Remade\Finalized\Dont demaster\UI\Shared,true,true,3,remarci_4x,false,0
00393ebb,0b9c97f4525a208e6e10e4aa90631f8b2b7093d7,d54f19ceed829488edc618d2e057095f9af9b30f,false,Self Remade\Finalized\Self Remastered\UI\Shared\Dont Demaster\4K,false,false,0,none,true,2
00454202,a5abb50baf5f5006765479f3a8f366b3124c4aeb,7b2c89b0fc287ea128c986ddb096a05333e74281,false,Self Remade\Finalized\Not Demaster Fixed\UI\Shared\4K,false,false,0,none,true,2
004f0fb2,ad70fcdd19f9934a49e3d4e7e79c04505f565106,c0a87c26e137451b039ede6914c1b04e293aa7ff,true,Self Remade\Finalized\Dont demaster\UI\Shared,true,true,3,remarci_4x,false,0
00c8c0af,779ab38fc37dca84e81866d5f5125c805cd86e92,c5c1596550826def0ec1b2b346e492304e2a0cc8,true,Self Remade\Finalized\Dont demaster\UI\Shared,true,true,3,remarci_4x,false,0
00e11a3e,4d828135cb28fdeb173df872317aa6e0dd8c7581,a58e7c3f62d2b5a34859ebca0f5bbd9c23070dde,false,Self Remade\Finalized\Not Demaster Fixed\UI\Shared\4K,false,false,0,none,true,2
00f1c0b1,bf8d61c294db1017447065024c5d9509728a1d89,c9a61eed3f59945078d812d30fb4f6f07b4b66bc,true,Self Remade\Finalized\Dont demaster\UI\Shared,true,true,3,remarci_4x,false,0
00fc60e2,a5abb50baf5f5006765479f3a8f366b3124c4aeb,7b2c89b0fc287ea128c986ddb096a05333e74281,false,Self Remade\Finalized\Not Demaster Fixed\UI\Shared\4K,false,false,0,none,true,2
e02_1.bmp,968d83b4d3a006f1eee46b3046d7fca5c99cf25f,be92b7d8ebfd41d2eba7408aec33b5f3011802d5,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,3,remarci_4x,false,0
e02_2.bmp_75c18656e1070488b65f4ef3c5459c6a,96be59ca4f962314e732f33fa9573dd664ae26b2,6c39a6d9dfa5464ddc115a4c8017331bffe6feb8,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,3,remarci_4x,false,0
e02_3.bmp_9f9413fdf4806383d89d42846a722a3f,acf3bccef14666fa2b4c3d3d0c52a21893c78827,5ffe18b22e4facad2a85e2d9cf11b688d033d5b1,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,3,remarci_4x,false,0
e02_4.bmp_e98df2b1939851f47c8a6c28ea1d4cda,0dae4a9862ecb04b50f4afa1cafe62616356d743,75fc3e481e41efe25f937b2115a2343801d2a2e2,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,3,remarci_4x,false,0
e04_1.bmp,55128b0b2a800c9ae94e7670da6255e903fd4198,a89c1f95e6216cd325b590a624639a179c408da0,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,3,remarci_4x,false,0
